pipeline,n,pwa,total_penalty,n_pred_drift,n_false_drift,n_false_drift_good,n_missed_drift,n_class_error,penalty_false_drift,penalty_missed_drift,penalty_class_error,threshold
nôtre,1655,0.9979393957703927,34103.0,4,4,0,0,7,4000.0,0.0,30103.0,0.8
nôtre,1655,0.9979393957703927,34103.0,4,4,0,0,7,4000.0,0.0,30103.0,0.8200000000000001
nôtre,1655,0.9979393957703927,34103.0,4,4,0,0,7,4000.0,0.0,30103.0,0.84
nôtre,1655,0.9979393957703927,34103.0,4,4,0,0,7,4000.0,0.0,30103.0,0.86
nôtre,1655,0.9979998187311179,33103.0,3,3,0,0,7,3000.0,0.0,30103.0,0.88
nôtre,1655,0.9979998187311179,33103.0,3,3,0,0,7,3000.0,0.0,30103.0,0.9
nôtre,1655,0.9979998187311179,33103.0,3,3,0,0,7,3000.0,0.0,30103.0,0.92
nôtre,1655,0.9980602416918429,32103.0,2,2,0,0,7,2000.0,0.0,30103.0,0.9400000000000001
nôtre,1655,0.9980602416918429,32103.0,2,2,0,0,7,2000.0,0.0,30103.0,0.96
nôtre,1655,0.9980602416918429,32103.0,2,2,0,0,7,2000.0,0.0,30103.0,0.98
nôtre,1655,0.9981810271903323,30104.0,0,0,0,0,8,0.0,0.0,30104.0,1.0
